商品名字,问题,答案
东仔 西藏那曲冬虫夏草正品野生0.2克一根装正宗那曲虫草体验装,请问是一条吗,是一小根虫草，外赠一小袋黑枸杞和一朵灵芝
东仔 西藏那曲冬虫夏草正品野生0.2克一根装正宗那曲虫草体验装,就一条吗？,对…买了才知道是这么计算的
东仔 西藏那曲冬虫夏草正品野生0.2克一根装正宗那曲虫草体验装,吃了能成仙吗？,要不你买点吃了试试吧！说不定那天就成仙了
东仔 西藏那曲冬虫夏草正品野生0.2克一根装正宗那曲虫草体验装,这么便宜？是真的冬虫夏草吗？,这款是那曲一克5条的冬虫夏草，一条装，一天32元亲
青海玉树冬虫夏草正品  野生虫草4条/g无断草10克40根 可礼盒顺丰,质量好吗,质量可以，就是个头小一点，毕竟价格在那里。
青海玉树冬虫夏草正品  野生虫草4条/g无断草10克40根 可礼盒顺丰,质量怎么样,"还可以，干度足

还可以，干度足"
青海玉树冬虫夏草正品  野生虫草4条/g无断草10克40根 可礼盒顺丰,有好评返现吗，,没有
青海玉树冬虫夏草正品  野生虫草4条/g无断草10克40根 可礼盒顺丰,大家觉得怎么样啊？,感觉很好，干净，足干，新鲜，各部分完整，无断草。
青海玉树冬虫夏草正品  野生虫草4条/g无断草10克40根 可礼盒顺丰,大家吃后觉得怎么样？,这种保健品吃了不会一下就有感觉
青海玉树冬虫夏草正品  野生虫草4条/g无断草10克40根 可礼盒顺丰,是正品吗？有没有效果,是正品，凭经验，感觉质量不错。完整，足干，干净，新鲜。效果不知道，我家一般是每年冬至开始吃，一人一次一克左右，早上空腹吃，大约50克，吃完即止。没有特别作为药品，主要是加强免疫力的，所以没有特别明显的效果，倒是很少生病。如果需要治疗什么？建议问一下中医，估计用量会不同。
青海玉树冬虫夏草正品  野生虫草4条/g无断草10克40根 可礼盒顺丰,怎样就辨别是否是正品了,可能看颜色吧，我拿给那些老人看一下就知道了，是正品来的
青海玉树冬虫夏草正品  野生虫草4条/g无断草10克40根 可礼盒顺丰,小孩子可以吃吗.天天吃可以吗,据说，冬虫夏草还是含有雄激素的，个人觉得太小还是不吃为好！但是，我们同事的小朋友咳喘非常厉害，早期治疗不及时，后来一感冒就咳，一咳就喘，伴有心机增大，中医建议他用冬虫夏草炖老鸭，吃了很长的时间，还是有效果的。建议，如果没有必要，还是大点再吃，要不问一下中医。
青海玉树冬虫夏草正品  野生虫草4条/g无断草10克40根 可礼盒顺丰,这个孕妇可以吃吗,应该可以，具体你问问店家。
青海玉树冬虫夏草正品  野生虫草4条/g无断草10克40根 可礼盒顺丰,效果好吗,吃完了，目前没感觉
青海玉树冬虫夏草正品  野生虫草4条/g无断草10克40根 可礼盒顺丰,这个对提高免疫力效果很好吗？,是的，特别是抵抗力低的最好
青海玉树冬虫夏草正品  野生虫草4条/g无断草10克40根 可礼盒顺丰,虫草质量怎样，新不新鲜,非专业，无法给您确定好与坏，吐槽的是包装挺低档的……
青海玉树冬虫夏草正品  野生虫草4条/g无断草10克40根 可礼盒顺丰,正宗吗？,应该是正宗的
青海玉树冬虫夏草正品  野生虫草4条/g无断草10克40根 可礼盒顺丰,是正品吗,是
青海玉树冬虫夏草正品  野生虫草4条/g无断草10克40根 可礼盒顺丰,是正品吗,不错，就是个头小点，不过价格在那里。
青海玉树冬虫夏草正品  野生虫草4条/g无断草10克40根 可礼盒顺丰,有重金属吗,没有
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,是正品吗,很好，个大饱满
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,是正品吗,是的
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,质量怎么样,买了几次了，质量都很好
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,质量怎么样？,假的3条一克，应该是3.6条左右一克的，都是骗人的。
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,真实的吗，有什么好处？,真的，具体的好处建议你去百度，答案会更加完善
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,怎么做比较好呀,煲汤比较合适，
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,怎么判断品质好坏呢？,医药公司
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,这个是正品吗？,药店老师傅看过，说是正品
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,是正品吗？,是的 这个很好呢
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,一条有多重,3条一克    一条也就0.33克左右
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,一条有几克？,您看得是3条一克的，平均一条有0.33克哦
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,请问是正品吗,什么叫正品？
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,是正品吗,是的
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,可以活血吗，懂的亲,益精，也可以说补血，活血吃三七啊。
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,包装怎么样？送人看起来大器不,东西挺好的，比商场便宜好多
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,是野生的吗?喝了补吗?,很补硬的不行
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,真是野生的吗,应该是真的，已经吃过了。
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,这个对提高免疫力效果真的好吗？,没有东西是可以直接提高免疫力的，我都试过打针……要食疗+运动+良好的作息
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,效果怎么样啊？,效果挺好的
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,是正品吗？,是正品很好
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,是正品吗？味道怎么样,是的
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,足量吗？,足量
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,怎么用法？,我已经吃了好几个月虫草了，是隔水蒸，水开6-10分钟即可先饮此水后吃掉虫草。我买过好几家，只要是真虫草，应该有效果，自己原来咳喘厉害，现在好多了。天气冷了要防止复发。
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,至亲重病，求问这个是真的虫草吗？,买了许多次了，是真的，挺不错的。
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,大家买了怎么样啊,可以，效果很好，跟药店买的一样，但是比药店便宜很多，质量也好很多
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,是正品吗,是的
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,这个是正品吗,是的，我一直买这家的，质量比较好
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,这个用什么煲汤最好呢？,瘦肉
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,虫草和什么煲汤喝最好,鸽子汤还不错
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,跟烟屁股比的话大多少,这……差距太大了，烟屁股这么大的肯定是特供了。
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,这个正宗吗,我吃了，感觉是真的，味道也不错，而效果的体现是需要循序渐进的。只吃第一个饼是不会饱的。呵呵
【头期新草】正宗玉树冬虫夏草 野生正品虫草3条1克 5克装可礼盒,各年龄的也可以吃吗,给爸妈买的
2017冬虫夏草4根条1克精选正品野生青海玉树西藏那曲礼盒装无断草,真的有那么好？,嗯嗯是的，效果确实不错吃了几天，睡眠明显好多了，人也精神了许多|
2017冬虫夏草4根条1克精选正品野生青海玉树西藏那曲礼盒装无断草,颜色正吗，是当年产的吗?,颜色金黄色，已还是今年的，看着还比较新鲜没有黑的。
2017冬虫夏草4根条1克精选正品野生青海玉树西藏那曲礼盒装无断草,是正品吗？质量怎么样啊？,是正品，和实体店的质量一样，价格还便宜，我之前在实体店买过，贵好多
2017冬虫夏草4根条1克精选正品野生青海玉树西藏那曲礼盒装无断草,这家的冬虫夏草质量好不好，有没有假草，牙签草，和断的？,质量挺好的，我买的里面没有断的和牙签的，都是整根的，也很饱满得，值得购买
玉树冬虫夏草4根条1g 精选西藏那曲东虫草正品野生无断草礼盒装,质量好不好,自家采挖的新草，品质很好的！
玉树冬虫夏草4根条1g 精选西藏那曲东虫草正品野生无断草礼盒装,真的有老板抱着的那么大条吗？,没有这么大的虫草，应该是模型
玉树冬虫夏草4根条1g 精选西藏那曲东虫草正品野生无断草礼盒装,是正品吗,他家草不错，一直在坚持吃，是正品！
玉树冬虫夏草4根条1g 精选西藏那曲东虫草正品野生无断草礼盒装,是正品吗,跟我在药店买的一样哦
玉树冬虫夏草4根条1g 精选西藏那曲东虫草正品野生无断草礼盒装,我的体质比较差，怎么吃才能更有效果？,煲鸽子汤，一星期一次，一次3到4根虫草煲一只鸽子，坚持一年会有明显效果效果！
玉树冬虫夏草4根条1g 精选西藏那曲东虫草正品野生无断草礼盒装,是野生的吗？效果怎样？,他家虫草不错 比在药房买的好一些 应该是野生虫草 原产地青海发货的 老板看着也实在 主要是有实体店 不怕找不到人
玉树冬虫夏草4根条1g 精选西藏那曲东虫草正品野生无断草礼盒装,请问冬虫夏草的品质怎么样？颜色怎么样？,他家的虫草还不错，大小均匀，颜色黄
玉树冬虫夏草4根条1g 精选西藏那曲东虫草正品野生无断草礼盒装,请问冬虫夏草的品质怎么样？颜色怎么样？,虫草质量不错，很均匀！
玉树冬虫夏草4根条1g 精选西藏那曲东虫草正品野生无断草礼盒装,他家的虫草大小均匀吗,还可以，比我在药店买的好很多！
玉树冬虫夏草4根条1g 精选西藏那曲东虫草正品野生无断草礼盒装,里面的虫草大小均匀吗?,收到货了，大小比较均匀的，整体还不错
【买就送同款】冬虫夏草正品西藏那曲野生虫草新鲜干草6根/克,效果好吗,挺好的，给父母补身体的，慢型的得长时间看呢。
【买就送同款】冬虫夏草正品西藏那曲野生虫草新鲜干草6根/克,效果怎么样,不知道。一点点，吃不出什么效果
【买就送同款】冬虫夏草正品西藏那曲野生虫草新鲜干草6根/克,是不是真的啊，质量怎么样啊,就像一条毛毛虫
【买就送同款】冬虫夏草正品西藏那曲野生虫草新鲜干草6根/克,大家买的品质怎么样？,这家的虫草品质还是信得过的
【买就送同款】冬虫夏草正品西藏那曲野生虫草新鲜干草6根/克,是正品吗,可能是人工养殖的吧，买给妈妈吃的
【买就送同款】冬虫夏草正品西藏那曲野生虫草新鲜干草6根/克,味道可以么，正品么,是正品   品质很好   买了很多次了
【买就送同款】冬虫夏草正品西藏那曲野生虫草新鲜干草6根/克,好不好啊,还可以，大小你要看清楚就行
【买就送同款】冬虫夏草正品西藏那曲野生虫草新鲜干草6根/克,是野生的吗？,我们家的是正宗的那曲野生虫草  保证品质的哦
【买就送同款】冬虫夏草正品西藏那曲野生虫草新鲜干草6根/克,人工养殖吗？,现在这个价位的虫草可能都是人工养殖吧，毕竟野生的现在太少了
【买就送同款】冬虫夏草正品西藏那曲野生虫草新鲜干草6根/克,我想买十克是几根,大概60左右，看大小
【买就送同款】冬虫夏草正品西藏那曲野生虫草新鲜干草6根/克,是正的吗，吃了效,虫草这个东西要长期吃才有效果的  比如2个月左右
【买就送同款】冬虫夏草正品西藏那曲野生虫草新鲜干草6根/克,你们买到的够干燥吗，会不会很潮,还行\真假就不晓得了:呵呵呵！
【买就送同款】冬虫夏草正品西藏那曲野生虫草新鲜干草6根/克,运输过程中会不会段,不会
冬虫夏草 西藏那曲野生冬虫草正品4条/克 正宗无断草玉树礼盒顺丰,你好  这里面是多少克？求解。,50克的，店家人挺好，你可以要求店家你需要多少了都可以
冬虫夏草 西藏那曲野生冬虫草正品4条/克 正宗无断草玉树礼盒顺丰,真实买过的朋友，虫草捏起来软不软，有没有很空的感觉？,亲，虫草品质挺好，每一根都特别饱满，用手捏起来很结实，干度好，是今年的野生正品新虫草，您可以放心购买！
冬虫夏草 西藏那曲野生冬虫草正品4条/克 正宗无断草玉树礼盒顺丰,请问是真草吗？网上价格不一，买给家人病断根的,亲，您好，是正宗野生西藏那曲冬虫夏草，品质您放心，都是今年的新草，是我和我的家人一起去雪山草原采挖的，毕竟一份钱一分货，亲，品质不同，价格也不同，您放心购买啊，品质给您保证好！
【西藏原生态】云麓冬虫夏草正宗西藏那曲新鲜虫草正品礼盒5条/克,克数够吗,我相信老板是个诚心的人
【西藏原生态】云麓冬虫夏草正宗西藏那曲新鲜虫草正品礼盒5条/克,送礼盒吗？,我10克送的。这礼盒也不值钱，拍得较多么也没问题的。
【西藏原生态】云麓冬虫夏草正宗西藏那曲新鲜虫草正品礼盒5条/克,亲是正品吗,是的 值得购买
【西藏原生态】云麓冬虫夏草正宗西藏那曲新鲜虫草正品礼盒5条/克,是正品吗,是
【西藏原生态】云麓冬虫夏草正宗西藏那曲新鲜虫草正品礼盒5条/克,吃多少才有效果,保健的心态
【西藏原生态】云麓冬虫夏草正宗西藏那曲新鲜虫草正品礼盒5条/克,可以当糖吃么？？？,可以，直接食用
【西藏原生态】云麓冬虫夏草正宗西藏那曲新鲜虫草正品礼盒5条/克,亲们，问一下这个质量怎么样,很不错 我在这家店里已经购买了两次 客服态度很不错非常有耐心的讲解产品 物流特别快 还有一个就是有小礼品
【西藏原生态】云麓冬虫夏草正宗西藏那曲新鲜虫草正品礼盒5条/克,效果怎么样,那曲正宗虫草，效果很明显
【西藏原生态】云麓冬虫夏草正宗西藏那曲新鲜虫草正品礼盒5条/克,是整科的吗？,整条的，不错
【西藏原生态】云麓冬虫夏草正宗西藏那曲新鲜虫草正品礼盒5条/克,好吃么？？？开坦克会不会速度更快？,那是一定的 值得购买
【西藏原生态】云麓冬虫夏草正宗西藏那曲新鲜虫草正品礼盒5条/克,难吃吗，什么味道的,有点轻微的菌类土腥味，不难吃。
【西藏原生态】云麓冬虫夏草正宗西藏那曲新鲜虫草正品礼盒5条/克,请问是正宗的吗？谢谢！,不会辨认。但卖家送了假草来对比
【西藏原生态】云麓冬虫夏草正宗西藏那曲新鲜虫草正品礼盒5条/克,请问是否正宗的,品质还不错
【西藏原生态】云麓冬虫夏草正宗西藏那曲新鲜虫草正品礼盒5条/克,是不是真的,不是假的
【西藏原生态】云麓冬虫夏草正宗西藏那曲新鲜虫草正品礼盒5条/克,是麻草？还是黄草？还是？,冬虫夏草
西藏那曲冬虫夏草正品野生新鲜虫草4条/克顺丰非断草玉树可选礼盒,一共多少条啊,没数过
西藏那曲冬虫夏草正品野生新鲜虫草4条/克顺丰非断草玉树可选礼盒,你好，是真货吗？,是真货，挺不错的
西藏那曲冬虫夏草正品野生新鲜虫草4条/克顺丰非断草玉树可选礼盒,虫草质量怎么样,自己买过 觉得不错 送礼也上档次
西藏那曲冬虫夏草正品野生新鲜虫草4条/克顺丰非断草玉树可选礼盒,质量怎么样？ 很干吗？,质量棒棒哒，和实体店一样，但是比实体店便宜。
西藏那曲冬虫夏草正品野生新鲜虫草4条/克顺丰非断草玉树可选礼盒,怎么样？是真的吗？,我婆婆经常买，她说是真的，条条都很饱满。
西藏那曲冬虫夏草正品野生新鲜虫草4条/克顺丰非断草玉树可选礼盒,是西藏那曲的冬虫夏草吗？品质怎么样,是西藏那曲的，长期吃比较好，买了几家，这家品质最好
藏家乐那曲冬虫夏草西藏野生虫草20根 礼盒包装 年货送礼 5根/克,冬虫夏草礼盒好看不，性价比怎么样,可以的
藏家乐那曲冬虫夏草西藏野生虫草20根 礼盒包装 年货送礼 5根/克,这款礼盒送人怎么样，过年准备送领导。,可以的
藏家乐那曲冬虫夏草西藏野生虫草20根 礼盒包装 年货送礼 5根/克,朋友买了说是掺假的，还有同意这观点的没有？,小人，一辈子也就这样
【假一赔十】藏家乐西藏那曲冬虫夏草 野生虫草正品5根/g,质量怎么样,给老人吃的补品这东西吗！一两个是不管用的我们是长期吃的大概吃了有两年了
【假一赔十】藏家乐西藏那曲冬虫夏草 野生虫草正品5根/g,能泡洒喝吗？,我是炖瘦肉吃的
【假一赔十】藏家乐西藏那曲冬虫夏草 野生虫草正品5根/g,货正价实吗,保证正品，那曲的哦
【假一赔十】藏家乐西藏那曲冬虫夏草 野生虫草正品5根/g,是真的吗，效果怎么样,质量不错但比较贵。
【假一赔十】藏家乐西藏那曲冬虫夏草 野生虫草正品5根/g,这是真的那曲虫草吗？托请走开！谢谢！,应该是真的，我同学托我买的，她家长期都在吃，这个店也是她发过来给我的。
【假一赔十】藏家乐西藏那曲冬虫夏草 野生虫草正品5根/g,是正品吗,应该是正品，挺好的
【假一赔十】藏家乐西藏那曲冬虫夏草 野生虫草正品5根/g,怎么头那里颜色不一？是正品吗,是的
【假一赔十】藏家乐西藏那曲冬虫夏草 野生虫草正品5根/g,虫草吃了真的可以增强免疫力吗,是吧，
【假一赔十】藏家乐西藏那曲冬虫夏草 野生虫草正品5根/g,一克能吃多少次？,煲汤一次……泡茶饮两到三次……
【假一赔十】藏家乐西藏那曲冬虫夏草 野生虫草正品5根/g,是什么气味的,我闻觉得是一种菌香味，挺好闻的
